"stock","year","mean","sd","median","lwr95CI","upr95CI","cv","obs"
"Kogrukluk",2012,4346,217.3,4346,3920.092,4771.908,0.05,0
"Kogrukluk",2013,1819,90.95,1819,1640.738,1997.262,0.05,1
"Kogrukluk",2014,3732,186.6,3732,3366.264,4097.736,0.05,1
"Kogrukluk",2015,8081,404.05,8081,7289.062,8872.938,0.05,1
"Kogrukluk",2016,7056,352.8,7056,6364.512,7747.488,0.05,1
"Kogrukluk",2017,9992,499.6,9992,9012.784,10971.216,0.05,1
"Kwethluk",1976,6659,332.95,6659,6006.418,7311.582,0.05,0
"Kwethluk",1977,17508,875.4,17508,15792.216,19223.784,0.05,0
"Kwethluk",1978,10864,543.2,10864,9799.328,11928.672,0.05,0
"Kwethluk",1979,9435,471.75,9435,8510.37,10359.63,0.05,0
"Kwethluk",1980,17911,895.55,17911,16155.722,19666.278,0.05,0
"Kwethluk",1981,13606,680.3,13606,12272.612,14939.388,0.05,0
"Kwethluk",1982,4534,226.7,4534,4089.668,4978.332,0.05,0
"Kwethluk",1983,4539,226.95,4539,4094.178,4983.822,0.05,0
"Kwethluk",1984,5674,283.7,5674,5117.948,6230.052,0.05,0
"Kwethluk",1985,4230,211.5,4230,3815.46,4644.54,0.05,0
"Kwethluk",1986,3626,181.3,3626,3270.652,3981.348,0.05,0
"Kwethluk",1987,5623,281.15,5623,5071.946,6174.054,0.05,0
"Kwethluk",1988,5289,264.45,5289,4770.678,5807.322,0.05,0
"Kwethluk",1989,6034,301.7,6034,5442.668,6625.332,0.05,0
"Kwethluk",1990,7012,350.6,7012,6324.824,7699.176,0.05,0
"Kwethluk",1991,6683,334.15,6683,6028.066,7337.934,0.05,0
"Kwethluk",1992,9675,483.75,9675,8726.85,10623.15,0.05,1
"Kwethluk",1993,12032,601.6,12032,10852.864,13211.136,0.05,0
"Kwethluk",1994,19840,992,19840,17895.68,21784.32,0.05,0
"Kwethluk",1995,16207,810.35,16207,14618.714,17795.286,0.05,0
"Kwethluk",1996,13833,691.65,13833,12477.366,15188.634,0.05,0
"Kwethluk",1997,13992,699.6,13992,12620.784,15363.216,0.05,0
"Kwethluk",1998,5774,288.7,5774,5208.148,6339.852,0.05,0
"Kwethluk",1999,5555,277.75,5555,5010.61,6099.39,0.05,0
"Kwethluk",2000,3547,177.35,3547,3199.394,3894.606,0.05,1
"Kwethluk",2001,8694,434.7,8694,7841.988,9546.012,0.05,0
"Kwethluk",2002,8963,448.15,8963,8084.626,9841.374,0.05,1
"Kwethluk",2003,14474,723.7,14474,13055.548,15892.452,0.05,1
"Kwethluk",2004,29111,1455.55,29111,26258.122,31963.878,0.05,1
"Kwethluk",2005,16189,809.45,16189,14602.478,17775.522,0.05,0
"Kwethluk",2006,19899,994.95,19899,17948.898,21849.102,0.05,1
"Kwethluk",2007,14438,721.9,14438,13023.076,15852.924,0.05,1
"Kwethluk",2008,6300,315,6300,5682.6,6917.4,0.05,1
"Kwethluk",2009,5828,291.4,5828,5256.856,6399.144,0.05,1
"Kwethluk",2010,1772,88.6,1772,1598.344,1945.656,0.05,1
"Kwethluk",2011,4217,210.85,4217,3803.734,4630.266,0.05,1
"Kwethluk",2012,3826,191.3,3826,3451.052,4200.948,0.05,0
"Kwethluk",2013,2527,126.35,2527,2279.354,2774.646,0.05,0
"Kwethluk",2014,3213,160.65,3213,2898.126,3527.874,0.05,1
"Kwethluk",2015,8163,408.15,8163,7363.026,8962.974,0.05,1
"Kwethluk",2016,6701,335.05,6701,6044.302,7357.698,0.05,0
"Kwethluk",2017,7345,367.25,7345,6625.19,8064.81,0.05,1
"Oskawalik",1976,604.043670708483,125.234548533509,592.199096911208,395.985576098209,884.700714626317,0.207326977512439,0
"Oskawalik",1977,1585.16202253274,320.259291091535,1549.07695754996,1062.53781777816,2318.0951454538,0.20203568249751,0
"Oskawalik",1978,983.016424632015,199.985106478929,961.340496683035,652.721598727041,1440.63843871618,0.203440249285552,0
"Oskawalik",1979,856.692173324171,174.919918835138,837.78619752249,569.073724928109,1257.25774283921,0.204180596347001,0
"Oskawalik",1980,1623.05929792509,327.852492250325,1586.06979662109,1087.16753852854,2373.73728545938,0.20199662000609,0
"Oskawalik",1981,1231.45411887077,249.496890065917,1204.16732289914,821.984454462455,1801.17328346298,0.202603480099366,0
"Oskawalik",1982,410.346485369789,88.0592480423588,403.234831365448,261.373176729075,606.664631589861,0.214597300530071,0
"Oskawalik",1983,410.346485369789,88.0592480423588,403.234831365448,261.373176729075,606.664631589861,0.214597300530071,0
"Oskawalik",1984,515.616694792992,108.104152923581,506.11895546905,335.814566118469,757.516917880628,0.209659916009861,0
"Oskawalik",1985,385.08163510822,83.3331042367436,378.534898346924,243.646364502367,570.207777401296,0.21640373531011,0
"Oskawalik",1986,330.341126208154,73.258890048285,324.255248319841,204.146082132545,491.824122028175,0.221767392056789,0
"Oskawalik",1987,814.584089554889,166.589594444571,796.701699811006,540.288955893364,1196.1644467244,0.204508775190539,1
"Oskawalik",1988,338.762742962011,74.7913951351743,332.794583963505,209.819847784184,503.650761772623,0.220778101160793,1
"Oskawalik",1989,549.303161808417,114.605857472046,538.754041134857,358.650813775509,806.609632591249,0.208638626973747,0
"Oskawalik",1990,477.719419400639,100.833878709438,469.100281371265,308.822041650662,703.540876044733,0.211073434770449,1
"Oskawalik",1991,608.254479085411,126.054928897225,596.219160574654,399.114417149283,891.00122141477,0.207240444964359,0
"Oskawalik",1992,385.08163510822,83.3331042367436,378.534898346924,243.646364502367,570.207777401296,0.21640373531011,1
"Oskawalik",1993,435.611335631358,92.8234919256433,427.381494805587,279.453970309862,642.817247545286,0.213087870615462,1
